lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-NDARRD326KB9_acq-HCP_T1w	991.0	1365.0	1547.0	1383.0	590.0	1845.0	1086.0	1237.0	453.0	211.0	1483.0	1080.0	330.0	823.0	4255.0	6602.0	628.0	601.0	1585.0	1095.0	1244.0	2052.0	768.0	1854.0	2323.0	2694.0	2730.0	1977.0	2315.0	2938.0	688.0	472.0	487.0	1881.0	736.0	965.0	2168.0	1913.0	237.0	253.0	963.0	1493.0	1196.0	1314.0	2906.0	1203.0	417.0	977.0	1223.0	548.0	312.0	1940.0	1509.0	3709.0	193.0	3328.0	767.0	1218.0	609.0	719.0	1852.0	261.0	484.0	1267.0	1766.0	1010.0	2046.0	1188.0	1497.0	532.0	1118.0	1316.0	4925.0	401.0	106088.0	1322644.0	1597719.571615
sub-NDARRK882CLT_acq-HCP_T1w	742.0	1133.0	910.0	1135.0	489.0	1509.0	965.0	974.0	362.0	133.0	1294.0	955.0	246.0	779.0	2663.0	4927.0	447.0	484.0	1435.0	841.0	1058.0	1919.0	873.0	1392.0	1857.0	1912.0	2111.0	1441.0	1786.0	1934.0	583.0	463.0	278.0	1280.0	545.0	833.0	1758.0	1799.0	105.0	170.0	791.0	1484.0	1207.0	1602.0	2122.0	957.0	308.0	953.0	1062.0	702.0	447.0	1759.0	1047.0	2206.0	311.0	2175.0	797.0	926.0	657.0	681.0	1617.0	324.0	511.0	936.0	1427.0	858.0	2548.0	1053.0	1028.0	422.0	902.0	1352.0	4510.0	242.0	86446.5	1172518.0	1444142.739359
sub-NDARRU499DP2_acq-HCP_T1w	1010.0	1022.0	1134.0	1183.0	614.0	1594.0	939.0	1089.0	411.0	207.0	1041.0	824.0	304.0	698.0	3364.0	5531.0	480.0	467.0	1241.0	1039.0	1203.0	1715.0	1099.0	1892.0	1859.0	2242.0	2880.0	1519.0	2048.0	2632.0	599.0	533.0	595.0	1361.0	391.0	689.0	1791.0	1993.0	258.0	265.0	906.0	1300.0	1114.0	1506.0	2212.0	822.0	372.0	1031.0	1285.0	785.0	284.0	1236.0	1077.0	2461.0	188.0	2277.0	495.0	921.0	468.0	657.0	1632.0	257.0	462.0	1005.0	1350.0	959.0	2101.0	1093.0	1241.0	404.0	747.0	923.0	4218.0	390.0	89932.8	1218350.0	1611235.135168
sub-NDARRV480PU1_acq-HCP_T1w	641.0	1172.0	884.0	905.0	569.0	1481.0	1047.0	973.0	593.0	245.0	1488.0	979.0	276.0	825.0	3454.0	4635.0	407.0	393.0	1384.0	1025.0	1116.0	2163.0	651.0	1725.0	1223.0	1828.0	2241.0	1685.0	1780.0	2184.0	596.0	486.0	383.0	1339.0	475.0	639.0	1476.0	1860.0	188.0	247.0	732.0	1447.0	857.0	1745.0	2146.0	772.0	321.0	872.0	1110.0	432.0	378.0	1708.0	1094.0	2208.0	201.0	2107.0	687.0	807.0	432.0	520.0	1274.0	218.0	373.0	854.0	1414.0	908.0	2131.0	1524.0	1018.0	371.0	877.0	989.0	3812.0	294.0	84291.3	1101772.0	1347030.141488
sub-NDARTC527WPZ_acq-HCP_T1w	709.0	1248.0	1134.0	1151.0	446.0	1675.0	1018.0	1040.0	535.0	196.0	1393.0	1101.0	373.0	844.0	2592.0	4270.0	398.0	473.0	1730.0	1321.0	975.0	1946.0	871.0	1652.0	2738.0	2295.0	2928.0	1752.0	1859.0	2209.0	743.0	417.0	382.0	1471.0	535.0	687.0	1508.0	2349.0	237.0	296.0	805.0	1429.0	1023.0	1692.0	2331.0	702.0	393.0	1035.0	1133.0	516.0	371.0	1668.0	694.0	1790.0	192.0	2873.0	886.0	1082.0	496.0	523.0	1432.0	267.0	458.0	867.0	1982.0	1021.0	2319.0	1562.0	1048.0	481.0	879.0	1073.0	5403.0	254.0	92177.6	1182003.0	1455308.60817
sub-NDARTF566PYH_acq-HCP_T1w	828.0	1175.0	1109.0	1195.0	667.0	1491.0	951.0	1082.0	441.0	203.0	1522.0	1061.0	252.0	889.0	3307.0	5962.0	536.0	544.0	1449.0	975.0	1472.0	2138.0	735.0	1958.0	2024.0	2261.0	1936.0	1654.0	2009.0	2553.0	670.0	527.0	396.0	1454.0	647.0	876.0	1716.0	2127.0	228.0	177.0	936.0	1492.0	1070.0	1913.0	2415.0	749.0	321.0	938.0	1180.0	596.0	422.0	1613.0	1154.0	2338.0	389.0	2174.0	562.0	898.0	440.0	846.0	1663.0	374.0	554.0	1058.0	1444.0	855.0	1795.0	1092.0	1122.0	483.0	970.0	1342.0	4518.0	386.0	93301.8	1214445.0	1520847.955427
sub-NDARTH473LF8_acq-HCP_T1w	798.0	1127.0	1139.0	1280.0	425.0	1459.0	800.0	1097.0	367.0	206.0	1746.0	1136.0	310.0	696.0	2910.0	4137.0	476.0	523.0	1780.0	1301.0	1539.0	2169.0	727.0	1627.0	2177.0	2167.0	1978.0	2059.0	1863.0	1911.0	693.0	372.0	339.0	1497.0	413.0	802.0	1283.0	2039.0	232.0	194.0	863.0	1380.0	1105.0	1989.0	2076.0	722.0	332.0	908.0	1308.0	609.0	331.0	1471.0	897.0	1639.0	378.0	2245.0	912.0	1027.0	505.0	572.0	1353.0	228.0	399.0	818.0	1692.0	982.0	2163.0	1078.0	904.0	468.0	770.0	880.0	4514.0	298.0	87609.6	1111344.0	1415879.661816
sub-NDARTN173MXV_acq-HCP_T1w	891.0	795.0	861.0	1063.0	614.0	1245.0	819.0	1002.0	374.0	233.0	1676.0	1001.0	273.0	997.0	3205.0	5769.0	487.0	451.0	1773.0	1235.0	1120.0	2068.0	953.0	1545.0	1964.0	2290.0	2257.0	1723.0	2010.0	1858.0	660.0	479.0	467.0	1716.0	511.0	868.0	1418.0	1823.0	228.0	305.0	806.0	1194.0	1055.0	1855.0	2198.0	798.0	312.0	979.0	1039.0	578.0	286.0	2065.0	1011.0	2421.0	145.0	2612.0	839.0	1142.0	717.0	414.0	1397.0	209.0	590.0	1075.0	1693.0	724.0	2511.0	1246.0	1076.0	412.0	799.0	1171.0	4948.0	350.0	91697.3	1139847.0	1427980.891784
sub-NDARTU777GVV_acq-HCP_T1w	1042.0	1410.0	1135.0	1044.0	548.0	1668.0	998.0	927.0	375.0	193.0	1356.0	981.0	297.0	911.0	3376.0	5450.0	543.0	512.0	1384.0	781.0	1727.0	2030.0	1170.0	1949.0	2388.0	2296.0	2477.0	1591.0	1974.0	2223.0	710.0	360.0	292.0	1544.0	602.0	870.0	2181.0	2003.0	220.0	291.0	885.0	1526.0	1324.0	1717.0	2438.0	850.0	339.0	959.0	1227.0	999.0	414.0	1522.0	954.0	2080.0	439.0	2470.0	790.0	970.0	526.0	771.0	1663.0	331.0	460.0	1182.0	1351.0	721.0	2060.0	929.0	1346.0	474.0	779.0	1199.0	5267.0	374.0	95164.7	1215538.0	1533278.274623
sub-NDARTZ018PD5_acq-HCP_T1w	1192.0	1128.0	1131.0	1086.0	600.0	1482.0	938.0	1014.0	414.0	198.0	1460.0	1080.0	341.0	1093.0	3952.0	6717.0	634.0	460.0	1955.0	1078.0	1432.0	2208.0	828.0	2063.0	2106.0	2103.0	2195.0	2105.0	2198.0	1930.0	758.0	452.0	472.0	1612.0	631.0	877.0	2013.0	1909.0	189.0	287.0	828.0	1695.0	1121.0	1752.0	2724.0	800.0	430.0	1002.0	1242.0	628.0	338.0	1988.0	1690.0	2656.0	465.0	1874.0	790.0	974.0	800.0	930.0	1900.0	356.0	518.0	1168.0	1722.0	833.0	2299.0	1366.0	1067.0	529.0	855.0	1432.0	4881.0	334.0	100305.0	1333972.0	1486838.826048
